CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
605,DE.CM-5,SI-4 (20)
606,DE.CM-5,SI-4 (21)
607,DE.CM-5,SI-4 (22)
608,DE.CM-5,SI-4 (23)
609,DE.CM-5,SI-4 (24)
610,DE.CM-5,SI-4 (3)
611,DE.CM-5,SI-4 (4)
612,DE.CM-5,SI-4 (5)
613,DE.CM-5,SI-4 (7)
614,DE.CM-5,SI-4 (9)
615,DE.CM-5,SI-4a.1
616,DE.CM-5,SI-4a.2
617,DE.CM-5,SI-4b
618,DE.CM-5,SI-4c.1
619,DE.CM-5,SI-4c.2
620,DE.CM-5,SI-4d
621,DE.CM-5,SI-4e
622,DE.CM-5,SI-4f
623,DE.CM-5,SI-4g
625,DE.CM-6,CA-7 (1)
626,DE.CM-6,CA-7 (3)
627,DE.CM-6,CA-7a
628,DE.CM-6,CA-7b
629,DE.CM-6,CA-7c
630,DE.CM-6,CA-7d
631,DE.CM-6,CA-7e
632,DE.CM-6,CA-7f
633,DE.CM-6,CA-7g
635,DE.CM-6,PS-7a
636,DE.CM-6,PS-7b
637,DE.CM-6,PS-7c
638,DE.CM-6,PS-7d
639,DE.CM-6,PS-7e
641,DE.CM-6,SA-4 (1)
642,DE.CM-6,SA-4 (10)
643,DE.CM-6,SA-4 (2)
644,DE.CM-6,SA-4 (3)
645,DE.CM-6,SA-4 (5)(a)
646,DE.CM-6,SA-4 (5)(b)
647,DE.CM-6,SA-4 (6)(a)
648,DE.CM-6,SA-4 (6)(b)
649,DE.CM-6,SA-4 (7)(a)
650,DE.CM-6,SA-4 (7)(b)
651,DE.CM-6,SA-4 (8)
652,DE.CM-6,SA-4 (9)
653,DE.CM-6,SA-4a
654,DE.CM-6,SA-4b
655,DE.CM-6,SA-4c
656,DE.CM-6,SA-4d
657,DE.CM-6,SA-4e
658,DE.CM-6,SA-4f
659,DE.CM-6,SA-4g
661,DE.CM-6,SA-9 (1)(a)
662,DE.CM-6,SA-9 (1)(b)
663,DE.CM-6,SA-9 (2)
664,DE.CM-6,SA-9 (3)
665,DE.CM-6,SA-9 (4)
666,DE.CM-6,SA-9 (5)
667,DE.CM-6,SA-9a
668,DE.CM-6,SA-9b
669,DE.CM-6,SA-9c
671,DE.CM-6,SI-4 (1)
672,DE.CM-6,SI-4 (10)
673,DE.CM-6,SI-4 (11)
674,DE.CM-6,SI-4 (12)
675,DE.CM-6,SI-4 (13)(a)
676,DE.CM-6,SI-4 (13)(b)
677,DE.CM-6,SI-4 (13)(c)
678,DE.CM-6,SI-4 (14)
679,DE.CM-6,SI-4 (15)
680,DE.CM-6,SI-4 (16)
681,DE.CM-6,SI-4 (17)
682,DE.CM-6,SI-4 (18)
683,DE.CM-6,SI-4 (19)
684,DE.CM-6,SI-4 (2)
685,DE.CM-6,SI-4 (20)
686,DE.CM-6,SI-4 (21)
687,DE.CM-6,SI-4 (22)
688,DE.CM-6,SI-4 (23)
689,DE.CM-6,SI-4 (24)
690,DE.CM-6,SI-4 (3)
691,DE.CM-6,SI-4 (4)
692,DE.CM-6,SI-4 (5)
693,DE.CM-6,SI-4 (7)
694,DE.CM-6,SI-4 (9)
695,DE.CM-6,SI-4a.1
696,DE.CM-6,SI-4a.2
697,DE.CM-6,SI-4b
698,DE.CM-6,SI-4c.1
699,DE.CM-6,SI-4c.2
700,DE.CM-6,SI-4d
701,DE.CM-6,SI-4e
702,DE.CM-6,SI-4f
703,DE.CM-6,SI-4g
705,DE.CM-7,AU-12 (1)
